estacion_origen,estacion_destino,dni_usuario,hora_retiro,tiempo_de_uso,hora_de_llegada,id_bici
181,125,5119190,00:00:42,00:08:57,00:09:39,8241
117,8,5422850,00:00:00,00:12:51,00:12:51,7686
148,106,5932870,00:02:24,00:10:30,00:12:54,2669
166,170,5255420,00:02:30,00:11:16,00:13:46,2365
115,170,5255420,00:03:28,00:11:48,00:15:16,2941
39,13,5581460,00:09:11,00:07:11,00:16:22,3671
160,89,5993630,00:07:43,00:08:54,00:16:37,6252
88,88,5350780,00:03:24,00:14:37,00:18:01,3896
124,9,4661990,00:05:03,00:16:17,00:21:20,5309
28,157,5876170,00:08:55,00:13:38,00:22:33,3347
161,170,5255420,00:15:33,00:08:08,00:23:41,8646
163,168,6401920,00:11:04,00:17:47,00:28:51,5162
124,180,4661990,00:10:24,00:19:45,00:30:09,3905
123,82,6286710,00:17:58,00:14:37,00:32:35,3923
194,123,6286710,00:23:31,00:10:50,00:34:21,7831
124,180,4661990,00:04:26,00:30:41,00:35:07,6696
163,25,4926290,00:20:03,00:15:47,00:35:50,7952
65,160,5993630,00:28:38,00:07:21,00:35:59,7039
154,166,5255420,00:14:24,00:21:39,00:36:03,8814
163,25,4926290,00:23:21,00:14:57,00:38:18,6118
124,180,4661990,00:06:07,00:32:14,00:38:21,4931
166,194,5255420,00:23:35,00:17:23,00:40:58,3085
89,180,4661990,00:17:12,00:25:08,00:42:20,5457
124,180,4661990,00:22:43,00:19:58,00:42:41,5164
160,89,5993630,00:33:34,00:09:55,00:43:29,4791
163,69,4926290,00:34:21,00:09:27,00:43:48,4857
19,33,6227110,00:36:55,00:08:21,00:45:16,8185
124,180,4661990,00:12:01,00:36:14,00:48:15,1534
89,180,4661990,00:09:13,00:39:02,00:48:15,2908
19,19,6227110,00:43:05,00:06:33,00:49:38,5924
123,5,6259900,00:19:20,00:31:46,00:51:06,4612
124,180,4661990,00:31:55,00:19:11,00:51:06,4750
144,199,5876170,00:15:59,00:35:08,00:51:07,5257
163,25,4926290,00:37:19,00:15:00,00:52:19,7501
142,54,6029990,00:42:28,00:10:11,00:52:39,3001
186,25,4926290,00:36:09,00:17:06,00:53:15,3488
163,180,4661990,00:42:59,00:10:30,00:53:29,3289
88,93,5350780,00:27:22,00:26:52,00:54:14,4500
38,12,6227110,00:46:30,00:09:09,00:55:39,2034
86,86,4989650,00:50:45,00:05:28,00:56:13,3798
19,33,6227110,00:44:26,00:11:56,00:56:22,8078
59,180,4661990,00:39:56,00:16:26,00:56:22,4434
113,181,4306090,00:46:33,00:11:00,00:57:33,1863
144,25,4926290,00:45:26,00:12:13,00:57:39,3558
89,180,4661990,00:39:50,00:18:09,00:57:59,4888
49,49,5479620,00:40:36,00:18:29,00:59:05,7533
69,25,4926290,00:49:55,00:09:27,00:59:22,5646
121,120,4642030,00:46:14,00:13:34,00:59:48,2235
13,25,4926290,00:41:37,00:19:44,01:01:21,6433
190,160,5993630,00:50:24,00:12:14,01:02:38,8384
78,33,6227110,00:55:10,00:09:04,01:04:14,2034
28,28,5876170,00:58:45,00:05:52,01:04:37,7995
19,33,6227110,00:54:23,00:10:29,01:04:52,4691
110,66,4979870,00:48:29,00:16:42,01:05:11,2111
146,146,5479620,00:19:28,00:47:32,01:07:00,5856
142,142,5065950,01:00:32,00:06:37,01:07:09,6557
163,25,4926290,00:52:50,00:15:25,01:08:15,8065
163,25,4926290,00:57:00,00:13:08,01:10:08,1252
163,25,4926290,00:53:19,00:17:11,01:10:30,7315
26,144,5876170,00:06:12,01:05:10,01:11:22,7543
13,25,4926290,00:53:31,00:17:54,01:11:25,5044
21,107,5523410,00:57:40,00:14:01,01:11:41,8354
163,25,4926290,00:56:34,00:15:27,01:12:01,1652
22,117,6227110,00:56:28,00:16:03,01:12:31,2909
13,25,4926290,00:56:07,00:17:46,01:13:53,2172
86,86,5255420,00:08:58,01:05:32,01:14:30,4936
14,133,5204590,01:04:42,00:10:37,01:15:19,1107
22,33,6227110,01:08:26,00:07:43,01:16:09,4594
70,30,5879610,00:58:16,00:18:08,01:16:24,5346
65,30,5879610,01:05:50,00:10:43,01:16:33,6027
65,30,5879610,01:06:10,00:11:52,01:18:02,4383
142,116,5879610,01:01:37,00:17:58,01:19:35,5637
89,64,5601200,01:08:28,00:11:35,01:20:03,7143
163,180,4661990,01:12:35,00:08:10,01:20:45,6968
121,120,4642030,01:06:41,00:14:06,01:20:47,2403
5,66,6029990,00:00:05,01:20:49,01:20:54,8023
29,82,5192300,01:04:18,00:16:59,01:21:17,3579
110,66,4979870,01:07:15,00:16:48,01:24:03,2110
86,143,5255420,00:48:31,00:37:52,01:26:23,4959
183,14,5204590,00:29:23,00:57:17,01:26:40,5719
9,194,5588080,00:58:31,00:28:18,01:26:49,1976
9,180,4661990,01:09:22,00:18:23,01:27:45,5101
96,66,4979870,00:59:59,00:27:54,01:27:53,5992
163,180,4661990,01:20:00,00:08:53,01:28:53,2637
33,12,6227110,01:20:50,00:08:39,01:29:29,5469
30,1,5127680,00:29:38,01:00:01,01:29:39,1770
199,144,5876170,01:12:02,00:18:29,01:30:31,5288
33,12,6227110,01:25:02,00:07:26,01:32:28,5770
142,161,5901700,01:24:44,00:08:49,01:33:33,7067
66,66,4979870,01:23:23,00:11:22,01:34:45,1201
33,12,6227110,01:28:31,00:07:42,01:36:13,7090
163,25,4926290,01:19:23,00:17:31,01:36:54,6992
68,83,6462750,01:23:27,00:13:28,01:36:55,5661
183,14,5204590,00:58:43,00:41:54,01:40:37,1255
163,25,4926290,01:29:43,00:12:42,01:42:25,2095
14,14,5204590,01:28:35,00:13:56,01:42:31,8867
144,25,4926290,01:31:17,00:12:27,01:43:44,2677
33,12,6227110,01:27:47,00:16:35,01:44:22,7332
19,33,6227110,01:36:58,00:07:39,01:44:37,1377
168,146,5876170,00:15:56,01:28:41,01:44:37,8303
8,8,5518610,00:09:46,01:35:52,01:45:38,7741
199,146,5479620,01:25:06,00:21:40,01:46:46,7439
19,33,6227110,01:39:09,00:08:54,01:48:03,2175
144,167,5943510,01:33:18,00:15:04,01:48:22,6547
186,180,4661990,01:41:05,00:08:06,01:49:11,5442
183,14,5204590,00:58:19,00:51:49,01:50:08,5218
166,200,5255420,00:21:49,01:28:53,01:50:42,7511
88,88,5350780,01:36:41,00:14:40,01:51:21,2446
13,25,4926290,01:30:11,00:21:11,01:51:22,4791
109,178,5479620,00:19:34,01:32:40,01:52:14,3515
185,109,5479620,01:14:05,00:38:18,01:52:23,4434
163,180,4661990,01:42:41,00:10:39,01:53:20,8981
186,25,4926290,01:28:27,00:25:29,01:53:56,4633
88,167,5350780,01:05:40,00:48:40,01:54:20,3950
163,180,4661990,01:43:54,00:11:35,01:55:29,5511
19,12,6227110,01:46:11,00:09:28,01:55:39,5657
33,33,6227110,01:13:17,00:44:16,01:57:33,7384
19,33,6227110,01:48:47,00:08:52,01:57:39,1331
8,8,5518610,01:51:24,00:06:49,01:58:13,7661
22,33,6227110,01:49:06,00:09:56,01:59:02,5328
82,123,6286710,01:50:15,00:10:10,02:00:25,2166
183,14,5204590,01:32:14,00:30:42,02:02:56,3184
49,167,6286710,01:56:08,00:08:42,02:04:50,7072
146,28,5479620,01:44:44,00:20:51,02:05:35,2213
170,170,5255420,01:41:40,00:29:16,02:10:56,1501
192,33,6227110,01:55:29,00:15:30,02:10:59,6396
1,30,5127680,01:34:58,00:38:32,02:13:30,1169
146,167,5597870,01:57:44,00:16:18,02:14:02,3032
110,66,4979870,02:01:56,00:12:13,02:14:09,3940
163,25,4926290,02:02:37,00:14:41,02:17:18,6491
165,103,5876170,01:49:49,00:29:54,02:19:43,1926
89,180,4661990,01:56:22,00:25:49,02:22:11,2592
166,194,5255420,02:00:39,00:22:49,02:23:28,3182
123,33,6227110,02:09:31,00:14:02,02:23:33,1762
8,8,5518610,02:06:27,00:17:06,02:23:33,5752
25,82,6286710,02:12:22,00:11:15,02:23:37,3296
110,66,4979870,02:01:20,00:24:24,02:25:44,5830
70,30,5879610,01:58:16,00:27:50,02:26:06,4004
122,116,5879610,02:11:57,00:14:50,02:26:47,4854
82,150,6286710,01:51:52,00:35:04,02:26:56,6466
142,90,6029990,02:01:49,00:25:24,02:27:13,5593
70,66,6029990,02:15:33,00:11:46,02:27:19,8756
163,122,4926290,02:02:46,00:25:03,02:27:49,3308
82,123,6286710,02:14:30,00:13:22,02:27:52,5522
165,1,5876170,02:15:49,00:13:42,02:29:31,2183
163,25,4926290,02:15:41,00:15:09,02:30:50,1286
64,174,6227110,02:22:59,00:12:53,02:35:52,8131
183,14,5204590,01:52:32,00:50:18,02:42:50,2976
85,1,6286710,02:03:30,00:41:55,02:45:25,3220
110,66,4979870,02:39:56,00:09:52,02:49:48,2875
33,12,6227110,02:42:02,00:08:00,02:50:02,3929
