bici_estacion_origen,bici_estacion_destino,dni_usuario,hora_retiro,tiempo_de_uso,hora_de_llegada
54,17,5187030,00:03:27,00:08:16,00:11:43
54,17,5187030,00:04:33,00:11:17,00:15:50
142,17,5187030,00:06:39,00:13:06,00:19:45
180,180,6170750,00:02:07,00:17:58,00:20:05
14,182,5735920,00:14:41,00:07:14,00:21:55
105,120,6109620,00:01:21,00:20:48,00:22:09
142,17,5187030,00:10:27,00:12:16,00:22:43
87,97,6109620,00:12:51,00:10:10,00:23:01
70,17,5187030,00:11:28,00:11:58,00:23:26
72,140,1895160,00:03:56,00:20:47,00:24:43
29,17,5187030,00:10:44,00:14:10,00:24:54
146,21,6434870,00:07:39,00:17:21,00:25:00
67,184,6109620,00:10:28,00:15:59,00:26:27
76,185,3892850,00:01:28,00:25:49,00:27:17
29,29,5945340,00:10:09,00:18:18,00:28:27
116,47,6215800,00:06:02,00:22:57,00:28:59
124,33,5751430,00:15:17,00:14:38,00:29:55
29,129,5945340,00:12:13,00:17:52,00:30:05
80,67,6109620,00:21:56,00:10:20,00:32:16
116,16,6215800,00:06:50,00:25:33,00:32:23
60,192,5495730,00:19:43,00:13:27,00:33:10
80,184,6109620,00:10:22,00:26:32,00:36:54
116,16,6215800,00:07:42,00:29:36,00:37:18
17,142,5187030,00:13:29,00:23:50,00:37:19
116,16,6215800,00:06:09,00:31:32,00:37:41
58,58,5731900,00:09:34,00:29:24,00:38:58
123,168,5731900,00:13:12,00:26:25,00:39:37
58,168,5731900,00:10:56,00:29:27,00:40:23
58,168,5731900,00:04:01,00:36:24,00:40:25
186,186,4841520,00:03:31,00:38:30,00:42:01
58,148,5731900,00:05:42,00:36:39,00:42:21
113,133,5735920,00:02:17,00:40:40,00:42:57
58,168,5731900,00:09:04,00:35:49,00:44:53
123,168,5731900,00:14:25,00:30:33,00:44:58
67,184,6109620,00:30:48,00:16:52,00:47:40
183,183,4300980,00:39:13,00:08:37,00:47:50
124,33,5751430,00:21:57,00:25:54,00:47:51
64,9,5925780,00:37:30,00:11:10,00:48:40
124,84,5945340,00:04:21,00:45:30,00:49:51
58,168,5731900,00:21:33,00:30:01,00:51:34
58,168,5731900,00:07:18,00:47:00,00:54:18
14,14,3892850,00:19:37,00:35:40,00:55:17
67,184,6109620,00:38:13,00:19:26,00:57:39
184,67,6109620,00:40:07,00:17:45,00:57:52
58,168,5731900,00:08:50,00:50:06,00:58:56
96,13,5572600,00:50:27,00:08:50,00:59:17
58,168,5731900,00:29:53,00:30:05,00:59:58
110,13,5572600,00:52:17,00:08:17,01:00:34
123,33,5751430,00:40:03,00:20:33,01:00:36
52,167,5945340,00:40:26,00:20:23,01:00:49
17,17,5187030,00:55:52,00:06:01,01:01:53
116,33,5751430,00:39:54,00:22:08,01:02:02
17,29,5187030,00:43:53,00:18:19,01:02:12
166,97,3892850,00:12:52,00:50:36,01:03:28
54,97,3892850,00:26:50,00:40:33,01:07:23
141,183,4300980,00:37:48,00:29:49,01:07:37
30,56,5751430,00:41:18,00:29:38,01:10:56
